回合结果，回合1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"损益表, 千 USD, 全球",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
销售额,,,,,,,,,,
销售额,1317834.7807226265,1533785.824706182,1676583.7381009993,1081883.0277989795,1246340.518884786,1759229.634521953,1777998.3691492195,858643.0448295092,1535842.4676899319,1358284.9051315235
,,,,,,,,,,
成本和费用,,,,,,,,,,
自身生产成本,422118.9745676322,480656.45114565594,389956.6800643965,277131.21378037106,369317.30392923823,597359.4622899476,581930.7078450287,257631.05258278595,427104.7678029015,317146.41938504594
功能成本,65646.78813086894,90203.99124105617,261162.24781535903,55124.77595802642,67539.88874219768,136591.45070426795,90967.02164065774,37982.37129308723,120279.61884518806,128950.85084204773
外包生产成本,292131.10079999996,268341.0067431737,236996.02079999997,253791.0144,236996.02079999997,292131.10079999996,236996.02079999997,98902.1212018675,262590.58671428566,292131.10079999996
运输和关税,83135.82330486293,70086.32198763422,87351.4065770085,36831.88542265832,38103.81862124595,126340.26121081565,79572.76522165499,58356.32812602455,82198.51603101482,54735.01567017447
研发,377000,270000,296365,339783,491365,291365,270000,288537,411365,521365
广告,145000,150000,175000,121000,128000,102500,294000,74770,145888,118600
行政管理,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082,98802.23261631082
成本与费用合计,1483834.9194196747,1428090.003733831,1545633.5878730752,1182464.1221773666,1430124.2647089926,1645089.5076213419,1652268.7481236523,914981.1058200761,1548228.7220097012,1531730.619313579
,,,,,,,,,,
息税折旧及摊销前利润(EBITDA),-166000.13869704818,105695.82097235089,130950.15022792411,-100581.09437838709,-183783.74582420662,114140.12690061121,125729.62102556718,-56338.06099056685,-12386.25431976933,-173445.71418205556
固定资产折旧,126225,126225,126225,126225,126225,126225,126225,126225,126225,126225
,,,,,,,,,,
息税前利润(EBIT),-292225.1386970482,-20529.17902764911,4725.15022792411,-226806.0943783871,-310008.7458242066,-12084.873099388788,-495.3789744328242,-182563.06099056685,-138611.25431976933,-299670.71418205556
财务费用净额,83189.04666433278,47237.18065438451,8429.029737662317,58589.07673896938,71441.36439292105,58580.921833473796,52190.88801867313,53597.038019930245,80434.88804353148,65516.43418994319
,,,,,,,,,,
税前利润,-375414.185361381,-67766.35968203362,-3703.8795097382063,-285395.17111735645,-381450.11021712766,-70665.79493286258,-52686.26699310596,-236160.0990104971,-219046.1423633008,-365187.14837199874
所得税,25504.84732800987,21872.25440231922,31719.348869396053,21173.867257402115,7678.285011276663,10829.308426737167,25429.70203837371,15854.468815795008,20840.29550228696,36713.46053148468
,,,,,,,,,,
本回合利润,-400919.0326893908,-89638.61408435284,-35423.22837913426,-306569.03837475856,-389128.3952284043,-81495.10335959974,-78115.96903147968,-252014.5678262921,-239886.43786558777,-401900.60890348343
,,,,,,,,,,
"资产负债表, 千 USD, 全球",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
资产,,,,,,,,,,
固定资产,715275,715275,715275,715275,715275,715275,715275,715275,715275,715275
应收账款,50736.63905782113,59050.754251188,64548.47391688847,41652.49657026071,47984.10997706426,67730.3409290952,68452.93721224496,33057.757225936104,59129.93500606237,52293.96884756366
现金及等价物,462638.8174554141,127090.07679917755,1562382.0721487408,208132.06052937522,318997.5730410413,98744.17955047367,291379.95606524294,228471.64786986326,80814.81082547376,10598.763888552654
总资产,1228650.4565132353,901415.8310503656,2342205.5460656295,965059.557099636,1082256.6830181056,881749.5204795689,1075107.8932774877,976804.4050957994,855219.7458315361,778167.7327361163
,,,,,,,,,,
股东权益,,,,,,,,,,
股本,338000,330000,440000,338000,340000,321800,331120,340000,321800,336000
资本公积,0,0,1098689.9139636313,0,0,0,0,0,0,0
本回合利润,-400919.0326893908,-89638.61408435284,-35423.22837913426,-306569.03837475856,-389128.3952284043,-81495.10335959974,-78115.96903147968,-252014.5678262921,-239886.43786558777,-401900.60890348343
留存收益,261114.8809690104,116257.93611769288,291594.47597474547,261414.8809690104,291594.47597474547,0.8253837150987238,154220.4716329339,261594.47597474547,125.82538371509872,230800.42657130593
权益合计,198195.8482796196,356619.32203334,1794861.1615592423,292845.84259425185,242466.08074634115,240305.72202411536,407224.50260145427,349579.90814845334,82039.38751812733,164899.8176678225
,,,,,,,,,,
股东负债,,,,,,,,,,
长期贷款,709788.929829001,509788.929829001,509788.929829001,499999.929829001,609788.929829001,509788.929829001,629788.929829001,609788.929829001,509788.929829001,99999.92982900102
短期贷款（无计划）,287438.91996268544,0,0,148232.94742828276,202591.32670719508,87286.61103875856,0,0,229042.74914276198,482738.89485144743
应付账款,33226.758441929516,35007.57918802452,37555.454677385416,23980.837248100648,27410.34573556825,44368.2575876937,38094.46084703264,17435.56711834496,34348.67934164551,30529.09038784482
负债总计,1030454.6082336159,544796.5090170256,547344.3845063865,672213.7145053844,839790.6022717642,641443.7984554534,667883.3906760336,627224.4969473459,773180.3583134086,613267.9150682933
,,,,,,,,,,
股东权益和负债总计,1228650.4565132353,901415.8310503656,2342205.5460656285,965059.5570996363,1082256.6830181053,881749.5204795687,1075107.8932774877,976804.4050957992,855219.7458315359,778167.7327361158
,,,,,,,,,,
"损益表, 千 USD, 美国",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
销售额,,,,,,,,,,
当地销售额,417974.55760482134,452166.0447319575,355325.382535258,334337.5223545964,358705.12078398035,434567.85107348557,463756.89825486194,204923.54031503282,463072.38342989574,362281.3757481761
出口销售额,551788.1357093236,627270.7619572564,628173.6657923248,338174.01246938313,535601.4345915953,773897.1982083117,678400.5508789929,430409.3933766397,572318.675003859,375651.1942132655
销售额合计,969762.6933141449,1079436.806689214,983499.0483275829,672511.5348239795,894306.5553755757,1208465.0492817974,1142157.4491338548,635332.9336916725,1035391.0584337547,737932.5699614417
,,,,,,,,,,
成本和费用,,,,,,,,,,
自身生产成本,422118.9745676322,480656.45114565594,389956.6800643965,277131.21378037106,369317.30392923823,597359.4622899476,581930.7078450287,257631.05258278595,427104.7678029015,317146.41938504594
功能成本,17764.631755354876,26309.99524817855,48140.858278970445,19060.452898254298,21245.42728064869,30581.95940251591,20256.233385818778,7037.020968221241,36530.32803816866,36188.264753722346
外包生产成本,123163.28639999998,117107.00080411554,106368.29279999998,123163.28639999998,106368.29279999998,123163.28639999998,106368.29279999998,98902.1212018675,109689.3977142857,123163.28639999998
运输和关税,0,0,0,0,0,0,0,0,0,0
研发,377000,270000,296365,339783,491365,291365,270000,288537,411365,521365
