code,name,type,parentCode
A,农、林、牧、渔业,1,
A01,农业,2,A
A011,谷物种植,3,A01
A0111,稻谷种植,4,A011
A0112,小麦种植,4,A011
A0113,玉米种植,4,A011
A0119,其他谷物种植,4,A011
A012,豆类、油料和薯类种植,3,A01
A0121,豆类种植,4,A012
A0122,油料种植,4,A012
A0123,薯类种植,4,A012
A013,棉、麻、糖、烟草种植,3,A01
A0131,棉花种植,4,A013
A0132,麻类种植,4,A013
A0133,糖料种植,4,A013
A0134,烟草种植,4,A013
A014,蔬菜、食用菌及园艺作物种植,3,A01
A0141,蔬菜种植,4,A014
A0142,食用菌种植,4,A014
A0143,花卉种植,4,A014
A0149,其他园艺作物种植,4,A014
A015,水果种植,3,A01
A0151,仁果类和核果类水果种植,4,A015
A0152,葡萄种植,4,A015
A0153,柑橘类种植,4,A015
A0154,香蕉等亚热带水果种植,4,A015
A0159,其他水果种植,4,A015
A016,坚果、含油果、香料和饮料作物种植,3,A01
A0161,坚果种植,4,A016
A0162,含油果种植,4,A016
A0163,香料作物种植,4,A016
A0164,茶叶种植,4,A016
A0169,其他饮料作物种植,4,A016
A017,中药材种植,3,A01
A0171,中草药种植,4,A017
A0179,其他中药材种植,4,A017
A018,草种植及割草,3,A01
A0181,草种植,4,A018
A0182,天然草原割草,4,A018
A0190,其他农业,4,A01
A02,林业,2,A
A021,林木育种和育苗,3,A02
A0211,林木育种,4,A021
A0212,林木育苗,4,A021
A0220,造林和更新,4,A02
A023,森林经营、管护和改培,3,A02
A0231,森林经营和管护,4,A023
A0232,森林改培,4,A023
A024,木材和竹材采运,3,A02
A0241,木材采运,4,A024
A0242,竹材采运,4,A024
A025,林产品采集,3,A02
A0251,木竹材林产品采集,4,A025
A0252,非木竹材林产品采集,4,A025
A03,畜牧业,2,A
A031,牲畜饲养,3,A03
A0311,牛的饲养,4,A031
A0312,马的饲养,4,A031
A0313,猪的饲养,4,A031
A0314,羊的饲养,4,A031
A0315,骆驼饲养,4,A031
A0319,其他牲畜饲养,4,A031
A032,家禽饲养,3,A03
A0321,鸡的饲养,4,A032
A0322,鸭的饲养,4,A032
A0323,鹅的饲养,4,A032
A0329,其他家禽饲养,4,A032
A0330,狩猎和捕捉动物,4,A03
A039,其他畜牧业,3,A03
A0391,兔的饲养,4,A039
A0392,蜜蜂饲养,4,A039
A0399,其他未列明畜牧业,4,A039
A04,渔业,2,A
A041,水产养殖,3,A04
A0411,海水养殖,4,A041
A0412,内陆养殖,4,A041
A042,水产捕捞,3,A04
A0421,海水捕捞,4,A042
A0422,内陆捕捞,4,A042
A05,农、林、牧、渔专业及辅助性活动,2,A
A051,农业专业及辅助性活动,3,A05
A0511,种子种苗培育活动,4,A051
A0512,农业机械活动,4,A051
A0513,灌溉活动,4,A051
A0514,农产品初加工活动,4,A051
A0515,农作物病虫害防治活动,4,A051
A0519,其他农业专业及辅助性活动,4,A051
A052,林业专业及辅助性活动,3,A05
A0521,林业有害生物防治活动,4,A052
A0522,森林防火活动,4,A052
A0523,林产品初级加工活动,4,A052
A0529,其他林业专业及辅助性活动,4,A052
A053,畜牧专业及辅助性活动,3,A05
A0531,畜牧良种繁殖活动,4,A053
A0532,畜禽粪污处理活动,4,A053
A0539,其他畜牧专业及辅助性活动,4,A053
A054,渔业专业及辅助性活动,3,A05
A0541,鱼苗及鱼种场活动,4,A054
A0549,其他渔业专业及辅助性活动,4,A054
B,采矿业,1,
B06,煤炭开采和洗选业,2,B
B0610,烟煤和无烟煤开采洗选,4,B06
B0620,褐煤开采洗选,4,B06
B0690,其他煤炭采选,4,B06
B07,石油和天然气开采业,2,B
B071,石油开采,3,B07
B0711,陆地石油开采,4,B071
B0712,海洋石油开采,4,B071
B072,天然气开采,3,B07
B0721,陆地天然气开采,4,B072
B0722,海洋天然气及可燃冰开采,4,B072
B08,黑色金属矿采选业,2,B
B0810,铁矿采选,4,B08
B0820,锰矿、铬矿采选,4,B08
B0890,其他黑色金属矿采选,4,B08
B09,有色金属矿采选业,2,B
B091,常用有色金属矿采选,3,B09
B0911,铜矿采选,4,B091
B0912,铅锌矿采选,4,B091
B0913,镍钴矿采选,4,B091
B0914,锡矿采选,4,B091
B0915,锑矿采选,4,B091
B0916,铝矿采选,4,B091
B0917,镁矿采选,4,B091
B0919,其他常用有色金属矿采选,4,B091
B092,贵金属矿采选,3,B09
B0921,金矿采选,4,B092
B0922,银矿采选,4,B092
B0929,其他贵金属矿采选,4,B092
B093,稀有稀土金属矿采选,3,B09
B0931,钨钼矿采选,4,B093
B0932,稀土金属矿采选,4,B093
B0933,放射性金属矿采选,4,B093
B0939,其他稀有金属矿采选,4,B093
B10,非金属矿采选业,2,B
B101,土砂石开采,3,B10
B1011,石灰石、石膏开采,4,B101
B1012,建筑装饰用石开采,4,B101
B1013,耐火土石开采,4,B101
B1019,粘土及其他土砂石开采,4,B101
B1020,化学矿开采,4,B10
B1030,采盐,4,B10
B109,石棉及其他非金属矿采选,3,B10
B1091,石棉、云母矿采选,4,B109
B1092,石墨、滑石采选,4,B109
B1093,宝石、玉石采选,4,B109
B1099,其他未列明非金属矿采选,4,B109
B11,开采专业及辅助性活动,2,B
B1110,煤炭开采和洗选专业及辅助性活动,4,B11
B1120,石油和天然气开采专业及辅助性活动,4,B11
B1190,其他开采专业及辅助性活动,4,B11
B12,其他采矿业,2,B
B1200,其他采矿业,4,B12
C,制造业,1,
C13,农副食品加工业,2,C
C131,谷物磨制,3,C13
C1311,稻谷加工,4,C131
C1312,小麦加工,4,C131
C1313,玉米加工,4,C131
C1314,杂粮加工,4,C131
C1319,其他谷物磨制,4,C131
C132,饲料加工,3,C13
C1321,宠物饲料加工,4,C132
C1329,其他饲料加工,4,C132
C133,植物油加工,3,C13
C1331,食用植物油加工,4,C133
C1332,非食用植物油加工,4,C133
C1340,制糖业,4,C13
C135,屠宰及肉类加工,3,C13
C1351,牲畜屠宰,4,C135
C1352,禽类屠宰,4,C135
C1353,肉制品及副产品加工,4,C135
C136,水产品加工,3,C13
C1361,水产品冷冻加工,4,C136
C1362,鱼糜制品及水产品干腌制加工,4,C136
C1363,鱼油提取及制品制造,4,C136
C1369,其他水产品加工,4,C136
C137,蔬菜、菌类、水果和坚果加工,3,C13
C1371,蔬菜加工,4,C137
C1372,食用菌加工,4,C137
C1373,水果和坚果加工,4,C137
C139,其他农副食品加工,3,C13
C1391,淀粉及淀粉制品制造,4,C139
C1392,豆制品制造,4,C139
C1393,蛋品加工,4,C139
C1399,其他未列明农副食品加工,4,C139
C14,食品制造业,2,C
C141,焙烤食品制造,3,C14
C1411,糕点、面包制造,4,C141
C1419,饼干及其他焙烤食品制造,4,C141
C142,糖果、巧克力及蜜饯制造,3,C14
C1421,糖果、巧克力制造,4,C142
C1422,蜜饯制作,4,C142
C143,方便食品制造,3,C14
C1431,米、面制品制造,4,C143
C1432,速冻食品制造,4,C143
C1433,方便面制造,4,C143
C1439,其他方便食品制造,4,C143
C144,乳制品制造,3,C14
C1441,液体乳制造,4,C144
C1442,乳粉制造,4,C144
C1449,其他乳制品制造,4,C144
C145,罐头食品制造,3,C14
C1451,肉、禽类罐头制造,4,C145
C1452,水产品罐头制造,4,C145
C1453,蔬菜、水果罐头制造,4,C145
C1459,其他罐头食品制造,4,C145
C146,调味品、发酵制品制造,3,C14
C1461,味精制造,4,C146
C1462,酱油、食醋及类似制品制造,4,C146
C1469,其他调味品、发酵制品制造,4,C146
C149,其他食品制造,3,C14
C1491,营养食品制造,4,C149
C1492,保健食品制造,4,C149
C1493,冷冻饮品及食用冰制造,4,C149
C1494,盐加工,4,C149
C1495,食品及饲料添加剂制造,4,C149
C1499,其他未列明食品制造,4,C149
C15,酒、饮料和精制茶制造业,2,C
C151,酒的制造,3,C15
C1511,酒精制造,4,C151
C1512,白酒制造,4,C151
C1513,啤酒制造,4,C151
C1514,黄酒制造,4,C151
C1515,葡萄酒制造,4,C151
C1519,其他酒制造,4,C151
C152,饮料制造,3,C15
C1521,碳酸饮料制造,4,C152
C1522,瓶（罐）装饮用水制造,4,C152
C1523,果菜汁及果菜汁饮料制造,4,C152
C1524,含乳饮料和植物蛋白饮料制造,4,C152
C1525,固体饮料制造,4,C152
C1529,茶饮料及其他饮料制造,4,C152
C1530,精制茶加工,4,C15
C16,烟草制品业,2,C
C1610,烟叶复烤,4,C16
C1620,卷烟制造,4,C16
C1690,其他烟草制品制造,4,C16
C17,纺织业,2,C
C171,棉纺织及印染精加工,3,C17
C1711,棉纺纱加工,4,C171
C1712,棉织造加工,4,C171
C1713,棉印染精加工,4,C171
C172,毛纺织及染整精加工,3,C17
C1721,毛条和毛纱线加工,4,C172
C1722,毛织造加工,4,C172
